MOS,Rank,Assignments,Assignment Type
Military Police Branch,Captain,multifunctional  brigades,KD
Military Police Branch,Captain,FA 29,KD
Military Police Branch,Captain,BCTs,KD
Military Police Branch,Captain,Centers of Excellence,DEV
Military Police Branch,Captain,special  operations  units,DEV
Military Police Branch,Captain,Joint/multinational,DEV
Military Police Branch,Captain,Academia,DEV
Military Police Branch,Captain,CTC,DEV
Military Police Branch,Captain,civilian enterprise,DEV
Military Police Branch,Major,FA 29,KD
Military Police Branch,Major,FORSCOM,DEV
Military Police Branch,Major,Joint Electronic  Warfare  Center,DEV
Military Police Branch,Major,NSA,DEV
Military Police Branch,Major,HRC,DEV
Military Police Branch,Major,U.S. Army  Pacific,DEV
Military Police Branch,Major,special  operations  units,DEV
Military Police Branch,Major,EW  program  manager  office,DEV
Military Police Branch,Major,Academia,DEV
Military Police Branch,Major,Army  Central Command,DEV
Military Police Branch,Major,U.S. Army  Europe,DEV
Military Police Branch,Major,NATO  headquarters,DEV
Military Police Branch,Major,Asymmetric  Warfare Group,DEV
Military Police Branch,Major,HQDA,DEV
Military Police Branch,Major,U.S. Army  Africa,DEV
Military Police Branch,Major,CTCs,DEV
Military Police Branch,Major,civilian  enterprise,DEV
Military Police Branch,Major,Centers  of  Excellence,DEV
Military Police Branch,Major,DOD,DEV
Military Police Branch,Lieutenant Colonel,Army division,KD
Military Police Branch,Lieutenant Colonel,Army headquarters,KD
Military Police Branch,Lieutenant Colonel,corps,KD
Military Police Branch,Lieutenant Colonel,joint staff,KD
Military Police Branch,Lieutenant Colonel,ASCC,KD
Military Police Branch,Lieutenant Colonel,Training with Industry,DEV
Military Police Branch,Lieutenant Colonel,Center  of Excellence,DEV
Military Police Branch,Lieutenant Colonel,EW course director,DEV
Military Police Branch,Lieutenant Colonel,HQDA,DEV
Military Police Branch,Lieutenant Colonel,TCM  EW,DEV
Military Police Branch,Colonel,Army corps,KD
Military Police Branch,Colonel,Army headquarters,KD
Military Police Branch,Colonel,joint staff,KD
Military Police Branch,Colonel,ASCC,KD
Military Police Branch,Colonel,Joint/multinational,DEV
Military Police Branch,Colonel,Academia,DEV
Military Police Branch,Colonel,HQDA,DEV
Military Police Branch,Colonel,civilian  enterprise,DEV
Military Police Branch,Colonel,TCM EW,DEV
