MOS,Rank,Assignments,Assignment Type
Cyber Branch,Lieutenant,Brigade/Regiment  CEWO,DEV
Cyber Branch,Lieutenant,Assistant S3,DEV
Cyber Branch,Lieutenant,Interactive Operator (CMF),DEV
Cyber Branch,Lieutenant,Platoon Leader,DEV
Cyber Branch,Lieutenant,Analytic Support Officer,DEV
Cyber Branch,Lieutenant,Company XO,DEV
Cyber Branch,Lieutenant,Cyber Planner,DEV
Cyber Branch,Lieutenant,Developer,DEV
Cyber Branch,Lieutenant,Battle Captain,DEV
Cyber Branch,Lieutenant,Aide d e Camp,DEV
Cyber Branch,Lieutenant,Cyber/EW Planner,DEV
Cyber Branch,Lieutenant,Exploitation Analyst (CMF)  Company XO,DEV
Cyber Branch,Lieutenant,Section Leader,DEV
Cyber Branch,Captain,Company Commander,KD
Cyber Branch,Captain,Support Team Leader (CST),KD
Cyber Branch,Captain,Mission Element Leader (CPT),KD
Cyber Branch,Captain,Section Leader (NMT/CMT),KD
Cyber Branch,Captain,Cyber Warfare/Ops Officer,KD
Cyber Branch,Captain,Brigade/Regiment /SFG  CEWO,KD
Cyber Branch,Captain,Development Crew Leader,KD
Cyber Branch,Captain,Senior Developer,KD
Cyber Branch,Captain,Instructor (CyS/USMA) (post -KD),DEV
Cyber Branch,Captain,Battle Captain (JOC),DEV
Cyber Branch,Captain,Evaluation Concepts Officer,DEV
Cyber Branch,Captain,MDTF Company XO,DEV
Cyber Branch,Captain,CY Research  Scientist (post -KD),DEV
Cyber Branch,Captain,CY/EW Rsrch. Scientist  (post -KD),DEV
Cyber Branch,Captain,Watch Officer (JOC),DEV
Cyber Branch,Captain,Analytic Support Officer,DEV
Cyber Branch,Captain,Special Technical Ops (STO) Planner,DEV
Cyber Branch,Captain,Instructor (CyS /USMA)  (post -KD),DEV
Cyber Branch,Captain,Assistant S3  (BN/BDE),DEV
Cyber Branch,Captain,Battalion S2/S3 (CTB),DEV
Cyber Branch,Captain,Deputy Team Leader (ECT),DEV
Cyber Branch,Captain,Career Program Mgr. (OCC)  (post -KD),DEV
Cyber Branch,Captain,Cyber OC/T (CTCs)  (post -KD),DEV
Cyber Branch,Captain,Task Force (TF) CuOps Officer (CMF),DEV
Cyber Branch,Captain,Battalion  S2/S3 (CTB),DEV
Cyber Branch,Captain,AROC Officer,DEV
Cyber Branch,Captain,Cyber Planner,DEV
Cyber Branch,Captain,Instructor ( CyS/USMA)  (post -KD),DEV
Cyber Branch,Captain,Career Program Mgr. (post -KD),DEV
Cyber Branch,Captain,Branch Chief (OCO/DCO/DODIN),DEV
Cyber Branch,Captain,Remote Operations OIC,DEV
Cyber Branch,Captain,Mission Manager (JOC),DEV
Cyber Branch,Captain,Cyber/EW Planner,DEV
Cyber Branch,Captain,Division/Corps CEWO,DEV
Cyber Branch,Captain,Systems Development Chief,DEV
Cyber Branch,Captain,Product Engineer (915th CWB),DEV
Cyber Branch,Captain,Effects Assessment Officer,DEV
Cyber Branch,Captain,CY Research  Scientist (ACI) (post -KD),DEV
