MOS,Rank,Assignments,Assignment Type
Military Police Branch,Lieutenant,Platoon Leader,KD
Military Police Branch,Lieutenant,installation PM office,KD
Military Police Branch,Lieutenant,battalion,KD
Military Police Branch,Lieutenant,Platoon leader,KD
Military Police Branch,Lieutenant,Transportation,KD
Military Police Branch,Lieutenant,company command,KD
Military Police Branch,Lieutenant,brigade level,KD
Military Police Branch,Lieutenant,detachment command,KD
Military Police Branch,Lieutenant,duty officer,KD
Military Police Branch,Lieutenant,platoon leader,KD
Military Police Branch,Lieutenant,staff officer,KD
Military Police Branch,Lieutenant,Sustainment Brigade,KD
Military Police Branch,Captain,MP Captain,KD
Military Police Branch,Captain,BDE or,KD
Military Police Branch,Captain,MP company,KD
Military Police Branch,Captain,MP unit,KD
Military Police Branch,Captain,CID,DEV
Military Police Branch,Captain,Detention,DEV
Military Police Branch,Captain,DRU,DEV
Military Police Branch,Captain,BCT PM,DEV
Military Police Branch,Captain,DES,DEV
Military Police Branch,Captain,ASCC,DEV
Military Police Branch,Captain,PM,DEV
Military Police Branch,Captain,USAMPS,DEV
Military Police Branch,Captain,ACOM,DEV
Military Police Branch,Captain,Staff,DEV
Military Police Branch,Major,deputy division PM,KD
Military Police Branch,Major,group S3 or XO,KD
Military Police Branch,Major,brigade/division MP Planner,KD
Military Police Branch,Major,Division,DEV
Military Police Branch,Major,CID,DEV
Military Police Branch,Major,BCT,DEV
Military Police Branch,Major,Detention,DEV
Military Police Branch,Major,USMA,DEV
Military Police Branch,Major,RC support,DEV
Military Police Branch,Major,DRU,DEV
Military Police Branch,Major,USACIDC,DEV
Military Police Branch,Major,Corrections,DEV
Military Police Branch,Major,ASCC,DEV
Military Police Branch,Major,USAMPS,DEV
Military Police Branch,Major,ACOM,DEV
Military Police Branch,Major,HQDA,DEV
Military Police Branch,Major,SAMS,DEV
Military Police Branch,Lieutenant Colonel,Battalion Command,KD
Military Police Branch,Lieutenant Colonel,MP School staff,DEV
Military Police Branch,Lieutenant Colonel,brigade,DEV
Military Police Branch,Lieutenant Colonel,installation DES or PM,DEV
Military Police Branch,Lieutenant Colonel,deputy brigade commander,DEV
Military Police Branch,Lieutenant Colonel,division PM,DEV
Military Police Branch,Lieutenant Colonel,LTC,DEV
Military Police Branch,Colonel,Protection Warfighting Function,KD
Military Police Branch,Colonel,protection directors,KD
Military Police Branch,Colonel,JIIM/DoD/Army staff,KD
Military Police Branch,Colonel,key billets,KD
Military Police Branch,Colonel,Inspector General,KD
Military Police Branch,Colonel,senior leadership positions,KD
Military Police Branch,Colonel,Corps,KD
Military Police Branch,Colonel,O7,KD
Military Police Branch,Colonel,USMA faculty and staff,KD
Military Police Branch,Colonel,joint duty assignments,KD
Military Police Branch,Colonel,ASCC,KD
Military Police Branch,Colonel,OPMG division director,KD
Military Police Branch,Colonel,brigade command,KD
Military Police Branch,Colonel,ACOM,KD
Military Police Branch,Colonel,U.S. Army Recruiting,KD
Military Police Branch,Colonel,ROTC,KD
Military Police Branch,Colonel,DEA,DEV
Military Police Branch,Colonel,United Nations,DEV
Military Police Branch,Colonel,National Security Council,DEV
Military Police Branch,Colonel,Joint Chiefs of Staff Internship,DEV
Military Police Branch,Colonel,FEMA,DEV
Military Police Branch,Colonel,Allied service,DEV
Military Police Branch,Colonel,MP branch representatives,DEV
